ID,Nome,Data d'inizio,Data di fine,Durata,Completamento,Costo,Priorità,Coordinatore,Predecessori,Numero dello schema,Risorse,Assignments,Colore attività,Note,Link Web
100,Pianificazione,26/09/25,03/10/25,6,0,0.0,1,,,1,,,"#ccffcc",,
1,"  Ricerca di mercato",01/10/25,03/10/25,3,0,0.0,1,Project Manager,2;3,1.1,Project Manager;Real Estate Agent,1:50.00;3:50.00,,,
2,"  Definizione modello di business",29/09/25,30/09/25,2,0,0.0,1,Project Manager,4,1.2,Project Manager;Finance Manager,1:60.00;14:40.00,,,
3,"  Costituzione legale",29/09/25,30/09/25,2,0,0.0,1,Legal Consultant,4,1.3,Legal Consultant;Finance Manager,2:50.00;14:50.00,,,
4,"  Budget e timeline",26/09/25,26/09/25,1,0,0.0,1,Project Manager,5;9;15,1.4,Project Manager,1:100.00,,,
200,Allestimento Ufficio Fisico,27/08/25,16/09/25,15,0,0.0,1,,,2,,,"#ffffcc",,
5,"  Ricerca location",10/09/25,16/09/25,5,0,0.0,1,Office Manager,6,2.1,Office Manager;Project Manager,4:80.00;1:20.00,,,
6,"  Negoziazione contratto",05/09/25,09/09/25,3,0,0.0,1,Legal Consultant,7,2.2,Legal Consultant;Office Manager,2:30.00;4:70.00,,,
7,"  Design interni ufficio",01/09/25,04/09/25,4,0,0.0,1,Interior Designer,8,2.3,Interior Designer;Office Manager,5:70.00;4:30.00,,,
8,"  Allestimento IT ufficio",27/08/25,29/08/25,3,0,0.0,1,IT Specialist,22,2.4,IT Specialist;Office Manager,6:60.00;4:40.00,,,
300,Sviluppo Sito Web,27/08/25,25/09/25,22,0,0.0,1,,,3,,,"#ffcccc",,
9,"  Raccolta requisiti sito",23/09/25,25/09/25,3,0,0.0,1,UI/UX Designer,10;12,3.1,UI/UX Designer;IT Specialist,7:50.00;6:50.00,,,
10,"  Wireframe & design UI",16/09/25,22/09/25,5,0,0.0,1,UI/UX Designer,11,3.2,UI/UX Designer,7:100.00,,,
11,"  Sviluppo frontend",05/09/25,15/09/25,7,0,0.0,1,Frontend Developer,13,3.3,Frontend Developer;UI/UX Designer,8:80.00;7:20.00,,,
12,"  Sviluppo backend",05/09/25,15/09/25,7,0,0.0,1,Backend Developer,13,3.4,Backend Developer;IT Specialist,9:70.00;6:30.00,,,
13,"  Integrazione CMS",02/09/25,04/09/25,3,0,0.0,1,Backend Developer,14;18,3.5,Backend Developer;IT Specialist,9:50.00;6:50.00,,,
14,"  Test & QA sito",27/08/25,01/09/25,4,0,0.0,1,QA Tester,19;22,3.6,QA Tester,10:100.00,,,
400,Acquisizione & Listing Immobili,27/08/25,12/09/25,13,0,0.0,1,,,4,,,"#ccccff",,
15,"  Partnership proprietari",08/09/25,12/09/25,5,0,0.0,1,Real Estate Agent,16,4.1,Real Estate Agent;Project Manager,3:70.00;1:30.00,,,
16,"  Servizio fotografico",01/09/25,05/09/25,5,0,0.0,1,Real Estate Agent,17,4.2,Real Estate Agent;Interior Designer,3:60.00;5:40.00,,,
17,"  Caricamento annunci",27/08/25,29/08/25,3,0,0.0,1,Real Estate Agent,22,4.3,Real Estate Agent;IT Specialist,3:80.00;6:20.00,,,
500,Marketing & SEO,30/06/25,11/07/25,10,0,0.0,1,,,5,,,"#00cc00",,
18,"  SEO ottimizzazione",07/07/25,11/07/25,5,0,0.0,1,SEO Specialist,20;21,5.1,SEO Specialist;Marketing Specialist,12:80.00;11:20.00,,,
19,"  Campagna social media",30/06/25,08/07/25,7,0,0.0,1,Social Media Manager,,5.2,Social Media Manager;Marketing Specialist,13:80.00;11:20.00,,,
20,"  Setup ads a pagamento",30/06/25,04/07/25,5,0,0.0,1,Marketing Specialist,,5.3,Marketing Specialist;Finance Manager,11:60.00;14:40.00,,,
21,"  Creazione contenuti",30/06/25,03/07/25,4,0,0.0,1,Marketing Specialist,,5.4,Marketing Specialist;Social Media Manager,11:50.00;13:50.00,,,
600,Lancio & Operazioni,18/08/25,26/08/25,7,0,0.0,1,,,6,,,"#f4f4f4",,
22,"  Soft launch ufficio & sito",25/08/25,26/08/25,2,0,0.0,1,Office Manager,23,6.1,Office Manager;IT Specialist,4:50.00;6:50.00,,,
23,"  Raccolta feedback iniziale",20/08/25,22/08/25,3,0,0.0,1,QA Tester,24,6.2,QA Tester;Project Manager,10:70.00;1:30.00,,,
24,"  Regolazioni post-launch",18/08/25,19/08/25,2,0,0.0,1,IT Specialist,25;26,6.3,IT Specialist;Real Estate Agent,6:60.00;3:40.00,,,
700,Manutenzione & Feedback,07/07/25,15/08/25,30,0,0.0,1,,,7,,,"#f4f4f4",,
25,"  Supporto operativo continuativo",07/07/25,15/08/25,30,0,0.0,1,Office Manager,,7.1,Office Manager;IT Specialist,4:40.00;6:60.00,,,
26,"  Analisi prestazioni & report",07/07/25,15/08/25,30,0,0.0,1,Finance Manager,,7.2,Finance Manager;SEO Specialist,14:50.00;12:50.00,,,


ID,Nome,Ruolo predefinito,posta elettronica,Telefono,Tasso standard,Total cost,Total load
1,Project Manager,Default:0,,,0,0E-23,7.1000000000000005
2,Legal Consultant,Default:0,,,0,0E-23,1.9
3,Real Estate Agent,Default:0,,,0,0E-24,11.200000000000001
4,Office Manager,Default:0,,,0,0E-22,21.5
5,Interior Designer,Default:0,,,0,0E-22,4.8
6,IT Specialist,Default:0,,,0,0E-23,27.7
7,UI/UX Designer,Default:0,,,0,0E-23,7.9
8,Frontend Developer,Default:0,,,0,0E-21,5.6
9,Backend Developer,Default:0,,,0,0E-21,6.4
10,QA Tester,Default:0,,,0,0E-21,6.1
11,Marketing Specialist,Default:0,,,0,0E-23,7.4
12,SEO Specialist,Default:0,,,0,0,19.0
13,Social Media Manager,Default:0,,,0,0E-21,7.6
14,Finance Manager,Default:0,,,0,0E-24,18.8
